CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,CCSDS_SPARE,X_LINEAR_ACCELERATION,X_ANGULAR_RATE,Y_LINEAR_ACCELERATION,Y_ANGULAR_RATE,Z_LINEAR_ACCELERATION,Z_ANGULAR_RATE
2342,49556,33,415,1310,0,0.000271834,-0.007739663,-0.000779592,0.000819564,0.000290908,5.66E-05
2342,49557,33,416,1310,0,-0.000566207,0.008830428,0.000866689,0.000533462,0.000361241,0.000104308
2342,49558,33,417,1310,0,0.000265874,-0.007477403,-0.000751577,0.00077188,0.000273027,8.94E-06
2342,49559,33,418,1310,0,-0.000450574,0.0074476,0.000733174,0.000533462,0.00034336,5.66E-05
2342,49560,33,419,1310,0,0.000278987,-0.008669496,-0.000870787,0.000819564,0.0002921,-1.49E-05
2342,49561,33,420,1310,0,-0.000628792,0.007304549,0.000737943,-0.002732873,-0.00117477,0.000104308
2342,49562,33,421,1310,0,0.000205077,-0.007835031,-0.00078138,-0.000491738,-0.000292622,5.66E-05
2342,49563,33,422,1310,0,-0.000565611,0.008639693,0.000849999,0.000247359,0.000216998,0.000104308
2342,49564,33,423,1310,0,0.000284947,-0.007596612,-0.000767075,0.00115335,0.000437535,8.94E-06
2342,49565,33,424,1310,0,-0.000705086,0.008448958,0.000846423,-0.002446771,-0.00103768,0.000151992
2342,49566,33,425,1310,0,0.000206269,-0.008192658,-0.000817142,-0.000539422,-0.00032302,0.000104308
2342,49567,33,426,1310,0,-0.000535809,0.008258224,0.00081066,0.000199676,0.00018958,0.000151992
2342,49568,33,427,1310,0,0.000288524,-0.007978082,-0.000804029,0.00115335,0.000419654,5.66E-05
2342,49569,33,428,1310,0,-0.000672899,0.008067489,0.0008047,-0.002446771,-0.00104662,0.000199676
2342,49570,33,429,1310,0,0.000211038,-0.008550286,-0.000854693,-0.00051558,-0.00032302,0.000151992
2342,49571,33,430,1310,0,-0.00050243,0.007924438,0.000770129,0.000247359,0.000193156,0.000199676
2342,49572,33,431,1310,0,0.000294484,-0.00833571,-0.000840984,0.00115335,0.000433959,0.000104308
2342,49573,33,432,1310,0,-0.000638925,0.007686019,0.000766553,-0.002399087,-0.001023971,0.000199676
2342,49574,33,433,1310,0,0.000172891,-0.008836389,-0.000827275,-0.000491738,-0.000144802,-0.001493096
2342,49575,33,434,1310,0,-0.000485741,0.007686019,0.000792779,0.000295043,0.000270642,-0.000467896
2342,49576,33,435,1310,0,0.000299253,-0.008550286,-0.00086423,0.001201034,0.000449456,0.000104308
2342,49577,33,436,1310,0,-0.000613891,0.007495284,0.000717677,-0.002327561,-0.001032911,0.000533462
2342,49578,33,437,1310,0,0.000172891,-0.007596612,-0.000711642,-0.000467896,-0.000162087,-0.001135468
2342,49579,33,438,1310,0,-0.000588261,0.008878112,0.000888146,0.000247359,0.000243224,-8.64E-05
2342,49580,33,439,1310,0,0.000283755,-0.007334352,-0.000744425,0.00115335,0.000422038,0.000151992
2342,49581,33,440,1310,0,-0.000568591,0.007113814,0.000700988,-0.002065301,-0.000886284,0.000247359
2342,49582,33,441,1310,0,0.000239648,-0.009265542,-0.000927411,-0.000110269,-0.00014659,0.000199676
2342,49583,33,442,1310,0,-0.000427924,0.007304549,0.000699796,0.000676513,0.000385083,0.000247359
2342,49584,33,443,1310,0,0.000294484,-0.007763505,-0.00078734,0.001296401,0.000479259,0.000151992
2342,49585,33,444,1310,0,-0.00068184,0.008305907,0.000819005,-0.002327561,-0.000984631,0.000247359
2342,49586,33,445,1310,0,0.000216998,-0.008311868,-0.000831448,-0.000396371,-0.000268184,0.000199676
2342,49587,33,446,1310,0,-0.000517927,0.008162856,0.000788011,0.000342727,0.000245608,0.000247359
2342,49588,33,447,1310,0,0.00029806,-0.008025765,-0.000814162,0.001296401,0.000478067,0.000199676
2342,49589,33,448,1310,0,-0.000516735,0.008687377,0.000858344,0.001344085,0.000748672,-0.00013411
2342,49590,33,449,1310,0,0.000137128,-0.008025765,-0.000799857,-0.001731515,-0.000860654,0.000199676
2342,49591,33,450,1310,0,-0.000577532,0.00821054,0.000803508,-0.000658631,-0.000222884,0.000247359
2342,49592,33,451,1310,0,0.000267066,-0.008144975,-0.000818931,0.000581145,0.000171699,0.000199676
