CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,CCSDS_SPARE,X_LINEAR_ACCELERATION,X_ANGULAR_RATE,Y_LINEAR_ACCELERATION,Y_ANGULAR_RATE,Z_LINEAR_ACCELERATION,Z_ANGULAR_RATE
2342,49252,33,111,1310,0,0.000101365,-0.008907914,-0.000693165,0.001248717,0.000821389,-0.005736947
2342,49253,33,112,1310,0,-0.000536405,0.00782907,0.001117028,0.000914931,0.000755824,-0.005069375
2342,49254,33,113,1310,0,0.000153817,-0.008144975,-0.000643097,0.001725554,0.000982322,-0.004807115
2342,49255,33,114,1310,0,-0.000706278,0.008115172,0.001148023,-0.001993775,-0.000599585,-0.004759431
2342,49256,33,115,1310,0,6.67945E-05,-0.008311868,-0.000647865,-0.000181794,0.000134744,-0.004759431
2342,49257,33,116,1310,0,-0.000588857,0.008305907,0.001152791,0.000438094,0.000550784,-0.004759431
2342,49258,33,117,1310,0,0.000133552,-0.007763505,-0.000598989,0.001201034,0.000784434,-0.004807115
2342,49259,33,118,1310,0,-0.000602566,0.009021163,0.001179017,0.00115335,0.00087861,-0.004139543
2342,49260,33,119,1310,0,0.000162162,-0.007048249,-0.000554286,0.001296401,0.000766553,-0.00385344
2342,49261,33,120,1310,0,-0.000529848,0.008067489,0.001059808,0.000914931,0.000752248,-0.00385344
2342,49262,33,121,1310,0,0.000190772,-0.007930398,-0.00065323,0.001773238,0.000985898,-0.003924966
2342,49263,33,122,1310,0,-0.000705682,0.008353591,0.001113452,-0.001946092,-0.000573359,-0.00385344
2342,49264,33,123,1310,0,0.000104941,-0.008073449,-0.00065621,-0.00013411,0.000147857,-0.003877282
2342,49265,33,124,1310,0,-0.000588857,0.00859201,0.001119412,0.000485778,0.000585355,-0.00385344
2342,49266,33,125,1310,0,0.000190772,-0.007525086,-0.000628792,0.001344085,0.000765361,-0.003257394
2342,49267,33,126,1310,0,-0.000600778,0.009307265,0.001119412,0.001296401,0.000902452,-0.002923608
2342,49268,33,127,1310,0,0.000197925,-0.006762147,-0.000562631,0.001439452,0.000799932,-0.002971292
2342,49269,33,128,1310,0,-0.000506006,0.006255507,0.00082735,-0.001516938,-0.000429712,-0.002923608
2342,49270,33,129,1310,0,0.000143088,-0.008168817,-0.000700317,8.9407E-06,0.00016097,-0.00294745
2342,49271,33,130,1310,0,-0.000572763,0.008448958,0.001041926,0.000342727,0.000462569,-0.002923608
2342,49272,33,131,1310,0,0.00016693,-0.007811189,-0.000666343,0.000485778,0.000392236,-0.002971292
2342,49273,33,132,1310,0,-0.000609718,0.008782744,0.001080073,0.000151992,0.000392236,-0.00294745
2342,49274,33,133,1310,0,0.000175275,-0.007525086,-0.000657998,0.000342727,0.000268258,-0.002327561
2342,49275,33,134,1310,0,-0.0006276,0.009021163,0.001033582,-1.49012E-05,0.000245608,-0.001946092
2342,49276,33,135,1310,0,7.87154E-05,-0.007262826,-0.000534616,0.000104308,0.000402965,-0.005307794
2342,49277,33,136,1310,0,-0.000543557,0.007638335,0.00100974,-0.000229478,0.000261106,-0.003615022
2342,49278,33,137,1310,0,0.000205077,-0.008550286,-0.00075873,0.000962615,0.000580586,-0.002661347
2342,49279,33,138,1310,0,-0.00050839,0.008162856,0.000942983,0.001010299,0.000714101,-0.001993775
