CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_SUBSECS,CCSDS_SPARE,GPS_WEEKS,GPS_SECONDS,GPS_FRAC_SECS,ECEF_X,ECEF_Y,ECEF_Z,VEL_X,VEL_Y,VEL_Z,LAT,LON,ALT
2161,50548,83,380,21626,0,341,150598,0.734,-1211000,-6292000,2194000,4808,1026,5503,18.78142548,-101.0865402,396859.75
2161,50549,83,380,38010,0,341,150598,0.984,-1210000,-6292000,2196000,4809,1028,5502,18.78142548,-101.0865402,396859.75
2161,50550,83,381,5242,0,341,150599,0.484,-1208000,-6291000,2198000,4809,1032,5501,18.78142548,-101.0865402,396859.75
2161,50551,83,381,21626,0,341,150599,0.734,-1206000,-6291000,2200000,4810,1034,5500,18.78142548,-101.0865402,396859.75
2161,50552,83,381,38010,0,341,150599,0.984,-1205000,-6291000,2201000,4810,1035,5499,18.78142548,-101.0865402,396859.75
2161,50553,83,381,54394,0,341,150599,0.984,-1205000,-6291000,2201000,4810,1035,5499,19.08826447,-100.8364716,396736.875
2161,50554,83,382,21626,0,341,150600,0.734,-1202000,-6290000,2205000,4811,1041,5497,19.08826447,-100.8364716,396736.875
2161,50555,83,382,38010,0,341,150600,0.984,-1201000,-6290000,2206000,4812,1043,5497,19.08826447,-100.8364716,396736.875
2161,50556,83,382,54394,0,341,150601,0.234,-1199000,-6289000,2208000,4812,1045,5496,19.08826447,-100.8364716,396736.875
2161,50557,83,383,5242,0,341,150601,0.484,-1198000,-6289000,2209000,4813,1046,5495,19.08826447,-100.8364716,396736.875
2161,50558,83,383,21626,0,341,150601,0.734,-1197000,-6289000,2211000,4813,1048,5495,19.08826447,-100.8364716,396736.875
2161,50559,83,383,38010,0,341,150601,0.984,-1196000,-6289000,2212000,4814,1050,5494,19.08826447,-100.8364716,396736.875
2161,50560,83,383,54394,0,341,150602,0.234,-1195000,-6288000,2213000,4814,1052,5493,19.08826447,-100.8364716,396736.875
2161,50561,83,384,5242,0,341,150602,0.484,-1193000,-6288000,2215000,4814,1054,5492,19.08826447,-100.8364716,396736.875
2161,50562,83,384,21626,0,341,150602,0.734,-1192000,-6288000,2216000,4815,1056,5492,19.08826447,-100.8364716,396736.875
2161,50563,83,384,38010,0,341,150602,0.984,-1191000,-6287000,2217000,4815,1057,5491,19.08826447,-100.8364716,396736.875
2161,50564,83,384,54394,0,341,150603,0.234,-1190000,-6287000,2219000,4816,1059,5490,19.08826447,-100.8364716,396736.875
2161,50565,83,385,5898,0,341,150603,0.484,-1189000,-6287000,2220000,4816,1061,5490,19.08826447,-100.8364716,396736.875
2161,50566,83,385,22282,0,341,150603,0.734,-1187000,-6287000,2221000,4817,1063,5489,19.08826447,-100.8364716,396736.875
2161,50567,83,385,38666,0,341,150603,0.984,-1186000,-6286000,2223000,4817,1065,5488,19.08826447,-100.8364716,396736.875
2161,50568,83,386,5898,0,341,150604,0.484,-1184000,-6286000,2225000,4818,1068,5487,19.08826447,-100.8364716,396736.875
2161,50569,83,386,22282,0,341,150604,0.734,-1183000,-6286000,2227000,4818,1070,5486,19.08826447,-100.8364716,396736.875
2161,50570,83,386,38666,0,341,150604,0.984,-1181000,-6285000,2228000,4819,1072,5485,19.08826447,-100.8364716,396736.875
2161,50571,83,386,55050,0,341,150605,0.234,-1180000,-6285000,2230000,4819,1074,5485,19.08826447,-100.8364716,396736.875
2161,50572,83,387,5898,0,341,150605,0.234,-1180000,-6285000,2230000,4819,1074,5485,19.34563637,-100.6255569,396633.3125
2161,50573,83,387,22282,0,341,150605,0.234,-1180000,-6285000,2230000,4819,1074,5485,19.35794449,-100.6154327,396626.4688
2161,50574,83,387,38666,0,341,150605,0.984,-1177000,-6284000,2234000,4820,1079,5482,19.35794449,-100.6154327,396626.4688
2161,50575,83,387,55050,0,341,150606,0.234,-1176000,-6284000,2235000,4821,1081,5482,19.35794449,-100.6154327,396626.4688
2161,50576,83,388,5898,0,341,150606,0.484,-1174000,-6284000,2236000,4821,1083,5481,19.35794449,-100.6154327,396626.4688
2161,50577,83,388,22282,0,341,150606,0.734,-1173000,-6283000,2238000,4822,1085,5480,19.35794449,-100.6154327,396626.4688
2161,50578,83,388,38666,0,341,150606,0.984,-1172000,-6283000,2239000,4822,1087,5480,19.35794449,-100.6154327,396626.4688
2161,50579,83,388,55050,0,341,150607,0.234,-1171000,-6283000,2240000,4822,1089,5479,19.35794449,-100.6154327,396626.4688
2161,50580,83,389,5898,0,341,150607,0.484,-1170000,-6283000,2242000,4823,1090,5478,19.35794449,-100.6154327,396626.4688
2161,50581,83,389,22282,0,341,150607,0.734,-1168000,-6282000,2243000,4823,1092,5477,19.35794449,-100.6154327,396626.4688
2161,50582,83,389,38666,0,341,150607,0.984,-1167000,-6282000,2244000,4824,1094,5477,19.35794449,-100.6154327,396626.4688
2161,50583,83,389,55050,0,341,150608,0.234,-1166000,-6282000,2246000,4824,1096,5476,19.35794449,-100.6154327,396626.4688
2161,50584,83,390,5898,0,341,150608,0.484,-1165000,-6282000,2247000,4824,1098,5475,19.35794449,-100.6154327,396626.4688
2161,50585,83,390,22282,0,341,150608,0.734,-1164000,-6281000,2249000,4825,1100,5475,19.35794449,-100.6154327,396626.4688
2161,50586,83,390,38666,0,341,150608,0.734,-1164000,-6281000,2249000,4825,1100,5475,19.51676559,-100.4849167,396571.75
2161,50587,83,390,55050,0,341,150609,0.234,-1161000,-6281000,2251000,4826,1103,5473,19.51676559,-100.4849167,396571.75
2161,50588,83,391,5898,0,341,150609,0.484,-1160000,-6280000,2253000,4826,1105,5472,19.51676559,-100.4849167,396571.75
2161,50589,83,391,22282,0,341,150609,0.734,-1159000,-6280000,2254000,4827,1107,5472,19.51676559,-100.4849167,396571.75
2161,50590,83,391,38666,0,341,150609,0.984,-1158000,-6280000,2255000,4827,1109,5471,19.51676559,-100.4849167,396571.75
2161,50591,83,391,55050,0,341,150610,0.234,-1156000,-6280000,2257000,4827,1111,5470,19.51676559,-100.4849167,396571.75
2161,50592,83,392,5898,0,341,150610,0.484,-1155000,-6279000,2258000,4828,1112,5469,19.51676559,-100.4849167,396571.75
2161,50593,83,392,38666,0,341,150610,0.984,-1153000,-6279000,2261000,4829,1116,5468,19.51676559,-100.4849167,396571.75
2161,50594,83,392,55050,0,341,150611,0.234,-1152000,-6279000,2262000,4829,1118,5467,19.51676559,-100.4849167,396571.75
2161,50595,83,393,5898,0,341,150611,0.484,-1150000,-6278000,2263000,4829,1120,5467,19.51676559,-100.4849167,396571.75
2161,50596,83,393,22282,0,341,150611,0.734,-1149000,-6278000,2265000,4830,1122,5466,19.51676559,-100.4849167,396571.75
2161,50597,83,393,38666,0,341,150611,0.984,-1148000,-6278000,2266000,4830,1123,5465,19.51676559,-100.4849167,396571.75
2161,50598,83,393,55050,0,341,150612,0.234,-1147000,-6277000,2267000,4831,1125,5464,19.51676559,-100.4849167,396571.75
2161,50599,83,394,5898,0,341,150612,0.484,-1146000,-6277000,2269000,4831,1127,5464,19.51676559,-100.4849167,396571.75
2161,50600,83,394,22282,0,341,150612,0.734,-1144000,-6277000,2270000,4831,1129,5463,19.51676559,-100.4849167,396571.75
2161,50601,83,394,38666,0,341,150612,0.984,-1143000,-6277000,2271000,4832,1131,5462,19.51676559,-100.4849167,396571.75
2161,50602,83,394,55050,0,341,150613,0.234,-1142000,-6276000,2273000,4832,1133,5461,19.51676559,-100.4849167,396571.75
2161,50603,83,395,5898,0,341,150613,0.484,-1141000,-6276000,2274000,4833,1134,5461,19.51676559,-100.4849167,396571.75
2161,50604,83,395,22282,0,341,150613,0.734,-1140000,-6276000,2276000,4833,1136,5460,19.51676559,-100.4849167,396571.75
