t,risk,state,main_flag,time,pos,vel,imu,stale,heading,frozen,frozen_time
206387114.483,0.00,0,0,0,0,0,0,0,0,0,2.50
206387114.733,0.00,0,0,0,0,0,0,0,0,0,2.75
206387114.983,0.00,0,0,0,0,0,0,0,0,0,3.00
206387115.233,0.00,0,0,0,0,0,0,0,0,0,3.25
206387115.483,0.00,0,0,0,0,0,0,0,0,0,3.50
206387115.733,0.00,0,0,0,0,0,0,0,0,0,3.75
206387115.983,0.00,0,0,0,0,0,0,0,0,0,4.00
206387116.233,0.00,0,0,0,0,0,0,0,0,0,4.25
206387116.233,0.50,1,3,1,0,3,0,0,0,0,0.00
206387116.233,0.50,1,3,1,0,3,0,0,0,0,0.00
206387116.983,0.00,0,0,0,0,0,0,0,0,0,0.75
206387117.233,0.00,0,0,0,0,0,0,0,0,0,1.00
206387117.483,0.00,0,0,0,0,0,0,0,0,0,1.25
206387117.733,0.00,0,0,0,0,0,0,0,0,0,1.50
206387117.983,0.00,0,0,0,0,0,0,0,0,0,1.75
206387118.233,0.00,0,0,0,0,0,0,0,0,0,2.00
206387118.483,0.00,0,0,0,0,0,0,0,0,0,2.25
206387118.733,0.00,0,0,0,0,0,0,0,0,0,2.50
206387118.983,0.00,0,0,0,0,0,0,0,0,0,2.75
206387119.233,0.00,0,0,0,0,0,0,0,0,0,3.00
206387119.483,0.00,0,0,0,0,0,0,0,0,0,3.25
206387119.733,0.00,0,0,0,0,0,0,0,0,0,3.50
206387119.983,0.00,0,0,0,0,0,0,0,0,0,3.75
206387120.233,0.00,0,0,0,0,0,0,0,0,0,4.00
206387120.483,0.00,0,0,0,0,0,0,0,0,0,4.25
206387120.483,0.50,1,3,1,0,3,0,0,0,0,0.00
206387120.983,0.00,0,0,0,0,0,0,0,0,0,0.50
206387121.233,0.00,0,0,0,0,0,0,0,0,0,0.75
206387121.483,0.00,0,0,0,0,0,0,0,0,0,1.00
206387121.733,0.00,0,0,0,0,0,0,0,0,0,1.25
206387121.983,0.00,0,0,0,0,0,0,0,0,0,1.50
206387122.233,0.00,0,0,0,0,0,0,0,0,0,1.75
206387122.483,0.00,0,0,0,0,0,0,0,0,0,2.00
206387122.733,0.00,0,0,0,0,0,0,0,0,0,2.25
206387122.983,0.00,0,0,0,0,0,0,0,0,0,2.50
206387123.233,0.00,0,0,0,0,0,0,0,0,0,2.75
206387123.483,0.00,0,0,0,0,0,0,0,0,0,3.00
206387123.733,0.00,0,0,0,0,0,0,0,0,0,3.25
206387123.983,0.45,1,4,0,0,3,4,0,0,0,3.50
206387124.233,0.20,0,3,0,0,3,0,0,0,0,3.75
206387124.483,0.20,0,3,0,0,3,0,0,0,0,4.00
206387124.733,0.20,0,3,0,0,3,0,0,0,0,4.25
206387124.983,0.20,0,3,0,0,3,0,0,0,0,4.50
206387125.733,0.55,1,7,0,0,3,0,0,0,7,5.25
206387125.983,0.55,1,7,0,0,3,0,0,0,7,5.50
206387126.233,0.55,1,7,0,0,3,0,0,0,7,5.75
206387126.483,0.55,1,7,0,0,3,0,0,0,7,6.00
206387126.733,0.55,1,7,0,0,3,0,0,0,7,6.25
206387126.983,0.55,1,7,0,0,3,0,0,0,7,6.50
206387127.233,0.55,1,7,0,0,3,0,0,0,7,6.75
206387127.483,0.55,1,7,0,0,3,0,0,0,7,7.00
206387127.733,0.55,1,7,0,0,3,0,0,0,7,7.25
206387127.983,0.55,1,7,0,0,3,0,0,0,7,7.50
206387128.233,0.35,1,7,0,0,0,0,0,0,7,7.75
206387128.483,0.35,1,7,0,0,0,0,0,0,7,8.00
206387128.733,0.35,1,7,0,0,0,0,0,0,7,8.25
206387128.983,0.35,1,7,0,0,0,0,0,0,7,8.50
206387129.233,0.35,1,7,0,0,0,0,0,0,7,8.75
206387129.733,0.35,1,7,0,0,0,0,0,0,7,9.25
206387129.983,0.35,1,7,0,0,0,0,0,0,7,9.50
206387130.233,0.35,1,7,0,0,0,0,0,0,7,9.75
206387130.483,0.35,1,7,0,0,0,0,0,0,7,10.00
206387130.733,0.35,1,7,0,0,0,0,0,0,7,10.25
206387130.983,0.35,1,7,0,0,0,0,0,0,7,10.50
206387131.233,0.35,1,7,0,0,0,0,0,0,7,10.75
206387131.483,0.35,1,7,0,0,0,0,0,0,7,11.00
206387131.733,0.35,1,7,0,0,0,0,0,0,7,11.25
206387131.983,0.35,1,7,0,0,0,0,0,0,7,11.50
206387132.233,0.35,1,7,0,0,0,0,0,0,7,11.75
206387132.483,0.35,1,7,0,0,0,0,0,0,7,12.00
206387132.733,0.35,1,7,0,0,0,0,0,0,7,12.25
206387132.983,0.35,1,7,0,0,0,0,0,0,7,12.50
206387133.233,0.35,1,7,0,0,0,0,0,0,7,12.75
206387133.483,0.35,1,7,0,0,0,0,0,0,7,13.00
206387133.733,0.35,1,7,0,0,0,0,0,0,7,13.25
206387133.983,0.35,1,7,0,0,0,0,0,0,7,13.50
206387134.733,0.35,1,7,0,0,0,0,0,0,7,14.25
206387134.983,0.35,1,7,0,0,0,0,0,0,7,14.50
206387135.233,0.35,1,7,0,0,0,0,0,0,7,14.75
206387135.483,0.35,1,7,0,0,0,0,0,0,7,15.00
206387135.733,0.35,1,7,0,0,0,0,0,0,7,15.25
