206387403.483,0.35,1,7,0,0,0,0,0,0,7,0,3.50
206387403.733,0.35,1,7,0,0,0,0,0,0,7,0,3.75
206387403.983,0.55,1,7,0,0,3,0,0,0,7,0,4.00
206387404.483,0.35,1,7,0,0,0,0,0,0,7,0,4.50
206387404.733,0.35,1,7,0,0,0,0,0,0,7,0,4.75
206387404.983,0.90,2,8,0,0,3,0,0,0,7,8,5.00
206387405.233,0.70,2,8,0,0,0,0,0,0,7,8,5.25
206387405.233,0.85,2,7,1,0,3,0,0,0,7,0,0.00
206387405.233,0.85,2,7,1,0,3,0,0,0,7,0,0.00
206387405.983,0.35,1,7,0,0,0,0,0,0,7,0,0.75
206387406.233,0.35,1,7,0,0,0,0,0,0,7,0,1.00
206387406.483,0.35,1,7,0,0,0,0,0,0,7,0,1.25
206387406.733,0.55,1,7,0,0,3,0,0,0,7,0,1.50
206387406.983,0.35,1,7,0,0,0,0,0,0,7,0,1.75
206387407.233,0.35,1,7,0,0,0,0,0,0,7,0,2.00
206387407.483,0.35,1,7,0,0,0,0,0,0,7,0,2.25
206387407.733,0.55,1,7,0,0,3,0,0,0,7,0,2.50
206387407.983,0.35,1,7,0,0,0,0,0,0,7,0,2.75
206387408.233,0.35,1,7,0,0,0,0,0,0,7,0,3.00
206387408.483,0.35,1,7,0,0,0,0,0,0,7,0,3.25
206387408.733,0.55,1,7,0,0,3,0,0,0,7,0,3.50
206387408.733,0.85,2,7,1,0,3,0,0,0,7,0,0.00
206387409.233,0.35,1,7,0,0,0,0,0,0,7,0,0.50
206387409.483,0.55,1,7,0,0,3,0,0,0,7,0,0.75
206387409.733,0.35,1,7,0,0,0,0,0,0,7,0,1.00
206387409.983,0.35,1,7,0,0,0,0,0,0,7,0,1.25
206387410.233,0.85,2,7,0,2,3,0,0,0,7,0,1.50
206387410.483,0.35,1,7,0,0,0,0,0,0,7,0,1.75
206387410.983,0.35,1,7,0,0,0,0,0,0,7,0,2.25
206387411.233,0.35,1,7,0,0,0,0,0,0,7,0,2.50
206387411.483,0.55,1,7,0,0,3,0,0,0,7,0,2.75
206387411.733,0.35,1,7,0,0,0,0,0,0,7,0,3.00
206387411.983,0.35,1,7,0,0,0,0,0,0,7,0,3.25
206387412.233,0.35,1,7,0,0,0,0,0,0,7,0,3.50
206387412.483,0.35,1,7,0,0,0,0,0,0,7,0,3.75
206387412.733,0.35,1,7,0,0,0,0,0,0,7,0,4.00
206387412.983,0.35,1,7,0,0,0,0,0,0,7,0,4.25
206387413.233,0.55,1,7,0,0,3,0,0,0,7,0,4.50
206387413.483,0.35,1,7,0,0,0,0,0,0,7,0,4.75
206387413.733,0.70,2,8,0,0,0,0,0,0,7,8,5.00
206387413.983,0.70,2,8,0,0,0,0,0,0,7,8,5.25
206387414.233,0.70,2,8,0,0,0,0,0,0,7,8,5.50
206387414.483,0.70,2,8,0,0,0,0,0,0,7,8,5.75
206387414.733,0.70,2,8,0,0,0,0,0,0,7,8,6.00
206387414.983,0.70,2,8,0,0,0,0,0,0,7,8,6.25
206387415.233,0.70,2,8,0,0,0,0,0,0,7,8,6.50
206387415.483,0.70,2,8,0,0,0,0,0,0,7,8,6.75
206387415.733,0.70,2,8,0,0,0,0,0,0,7,8,7.00
206387415.983,0.90,2,8,0,0,3,0,0,0,7,8,7.25
206387416.233,0.70,2,8,0,0,0,0,0,0,7,8,7.50
206387416.483,0.70,2,8,0,0,0,0,0,0,7,8,7.75
206387416.733,1.19,2,8,0,2,3,0,0,0,7,8,8.00
206387416.983,0.70,2,8,0,0,0,0,0,0,7,8,8.25
206387417.233,0.70,2,8,0,0,0,0,0,0,7,8,8.50
206387417.483,0.90,2,8,0,0,3,0,0,0,7,8,8.75
206387417.733,0.70,2,8,0,0,0,0,0,0,7,8,9.00
206387417.983,0.70,2,8,0,0,0,0,0,0,7,8,9.25
206387417.983,0.85,2,7,1,0,3,0,0,0,7,0,0.00
206387418.733,0.35,1,7,0,0,0,0,0,0,7,0,0.75
206387418.983,0.35,1,7,0,0,0,0,0,0,7,0,1.00
206387419.233,0.55,1,7,0,0,3,0,0,0,7,0,1.25
206387419.483,0.35,1,7,0,0,0,0,0,0,7,0,1.50
206387419.733,0.35,1,7,0,0,0,0,0,0,7,0,1.75
206387419.983,0.35,1,7,0,0,0,0,0,0,7,0,2.00
206387420.233,0.55,1,7,0,0,3,0,0,0,7,0,2.25
206387420.483,0.35,1,7,0,0,0,0,0,0,7,0,2.50
206387420.733,0.35,1,7,0,0,0,0,0,0,7,0,2.75
206387420.983,0.55,1,7,0,0,3,0,0,0,7,0,3.00
206387421.233,0.35,1,7,0,0,0,0,0,0,7,0,3.25
206387421.483,0.35,1,7,0,0,0,0,0,0,7,0,3.50
206387421.733,0.85,2,7,0,2,3,0,0,0,7,0,3.75
206387421.983,0.35,1,7,0,0,0,0,0,0,7,0,4.00
206387422.233,0.35,1,7,0,0,0,0,0,0,7,0,4.25
206387422.483,0.35,1,7,0,0,0,0,0,0,7,0,4.50
206387422.733,0.35,1,7,0,0,0,0,0,0,7,0,4.75
206387422.983,0.70,2,8,0,0,0,0,0,0,7,8,5.00
206387422.983,0.85,2,7,1,0,3,0,0,0,7,0,0.00
206387423.483,0.35,1,7,0,0,0,0,0,0,7,0,0.50
206387423.733,0.35,1,7,0,0,0,0,0,0,7,0,0.75
206387423.983,0.35,1,7,0,0,0,0,0,0,7,0,1.00
206387424.233,0.35,1,7,0,0,0,0,0,0,7,0,1.25
206387424.483,0.55,1,7,0,0,3,0,0,0,7,0,1.50
206387424.733,0.35,1,7,0,0,0,0,0,0,7,0,1.75
